2P2IDB_ID;Family;UniProt;Class;Target;Partner;SuperFamily;SuperFamily_ID;Target_ID;Source;ExpData;PDBProtProt;InstanceID;PDBProtLig;Ligand;ChainID;ResidueNumber;Atoms;HeavyAtoms;MissingHeavyAtoms;MolecularWeight;ObservedFormula;Formula;Type;Covalent;Deposition_Date;Modified_Date;2P2IDB_Date;Name;SystematicName;InChI;InChIKey;SMILES;SDF
10101-0001;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;SOLUTION NMR;2XA0;1YSW_43B;1YSW;43B;A;1000;78;48;0;694.842;C36 N4 O5 S3;C36 H30 N4 O5 S3;non-polymer;na;2005-02-09;2022-03-02;2022-05-01;KYLSTDPZEIQYFX-UHFFFAOYSA-N;C(Cc1sc2c(n1)cc(cc2)c1ccc(cc1)C(=O)NS(=O)(=O)c1cc(c(cc1)NCCSc1ccccc1)[N+](=O)[O-])c1ccccc1;1YSW_43B_A_1000
10101-0002;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;SOLUTION NMR;2XA0;2O21_43B;2O21;43B;A;1000;78;48;0;694.842;C36 N4 O5 S3;C36 H30 N4 O5 S3;non-polymer;na;2006-11-29;2022-03-16;2022-05-01;KYLSTDPZEIQYFX-UHFFFAOYSA-N;C(Cc1sc2c(n1)cc(cc2)c1ccc(cc1)C(=O)NS(=O)(=O)c1cc(c(cc1)NCCSc1ccccc1)[N+](=O)[O-])c1ccccc1;2O21_43B_A_1000
10101-0003;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;SOLUTION NMR;2XA0;2O22_LIU;2O22;LIU;A;1000;77;41;0;596.761;C30 N4 O5 S2;C30 H36 N4 O5 S2;non-polymer;na;2006-11-29;2011-07-13;2022-05-01;FQHHQKOASLDQEQ-UHFFFAOYSA-N;C1C(CCN(C1)c1ccc(cc1)C(=O)NS(=O)(=O)c1cc(c(cc1)NC(CSc1ccccc1)(C)C)[N+](=O)[O-])(C)C;2O22_LIU_A_1000
10101-0004;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;SOLUTION NMR;2XA0;2O2F_LI0;2O2F;LI0;A;1000;88;48;0;688.856;C36 N4 O6 S2;C36 H40 N4 O6 S2;non-polymer;na;2006-11-29;2022-03-16;2022-05-01;REQAXYXBBHHBCA-UHFFFAOYSA-N;C1C(CCN(C1)c1ccc(cc1)C(=O)NS(=O)(=O)c1cc(c(cc1)NC(CSc1ccccc1)(C)C)[N+](=O)[O-])(OC)Cc1ccccc1;2O2F_LI0_A_1000
10101-0005;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;HOMO SAPIENS;X-RAY DIFFRACTION;2XA0;2W3L_DRO;2W3L;DRO;A;1166;71;41;0;576.087;C34 Cl N5 O2;C34 H30 Cl N5 O2;non-polymer;na;2008-11-13;2017-06-28;2022-05-01;MLZCQGFPFQDFLC-NDEPHWFRSA-N;c1ccccc1N(c1ccccc1)C(=O)c1nn(c(c1Cl)C)c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CN;2W3L_DRO_A_1166
10101-0006;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;HOMO SAPIENS;X-RAY DIFFRACTION;2XA0;4AQ3_398;4AQ3;398;A;1163;91;50;0;866.207;C40 Cl I N5 O5 S;C40 H41 Cl I N5 O5 S;non-polymer;na;2012-04-12;2012-11-21;2022-05-01;DKJBPPVETUSFTM-UHFFFAOYSA-N;O=C(N1Cc2ccccc2CC1)c1c(n2nc(C(=O)N(CCCC)CCCC)c(Cl)c2C)ccc(c1)C(=O)NS(=O)(=O)c1cc2cc(I)ccc2cc1;4AQ3_398_A_1163
10101-0007;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;4IEH_1E9;4IEH;'1E9;A;201;102;58;0;874.490;C42 Cl N7 O6 S3;C42 H44 Cl N7 O6 S3;non-polymer;na;2012-12-13;2017-07-26;2022-05-01;IXACTXFUQMBZJI-MGBGTMOVSA-N;C([C@H](CSc1ccccc1)Nc1c(cc(cc1)S(=O)(=O)NC1=NS(=O)(=O)c2cc(N3CCN(Cc4c(cccc4)c4ccc(cc4)Cl)CC3)ccc12)[N+](=O)[O-])CN(C)C;4IEH_1E9_A_201
10101-0008;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;4LVT_1XJ;4LVT;1XJ;A;301;119;64;0;974.613;C47 Cl F3 N5 O6 S3;C47 H55 Cl F3 N5 O6 S3;non-polymer;na;2013-07-26;2017-08-02;2022-05-01;JLYAXFNOILIKPP-KXQOOQHDSA-N;c1c(ccc(c1)Cl)C1=C(CC(CC1)(C)C)CN1CCN(c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(c(c2)S(=O)(=O)C(F)(F)F)N[C@H](CCN2CCOCC2)CSc2ccccc2)CC1;4LVT_1XJ_A_301
10101-0009;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;4LXD_1XV;4LXD;1XV;A;301;84;46;0;696.213;C34 Cl N5 O7 S;C34 H38 Cl N5 O7 S;non-polymer;na;2013-07-29;2017-08-02;2022-05-01;AJWKZOOIFOHKSK-UHFFFAOYSA-N;c1cc(Cl)ccc1C1=C(COCC1)CN1CCN(c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(c(c2)[N+](=O)[O-])NC2CCOCC2)CC1;4LXD_1XV_A_301
10101-0010;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;4MAN_1Y1;4MAN;1Y1;A;301;115;63;0;922.487;C48 Cl N7 O8 S;C48 H52 Cl N7 O8 S;non-polymer;na;2013-08-16;2017-11-15;2022-05-01;OEPSXIVYHBPSCA-UHFFFAOYSA-N;c1cc(c2ccc(Cl)cc2)c(c(c1)OCCN(C)C)CN1CCN(c2ccc(c(c2)Oc2ccc3c(cc[nH]3)c2)C(=O)NS(=O)(=O)c2ccc(c(c2)[N+](=O)[O-])NCC2CCOCC2)CC1;4MAN_1Y1_A_301
